country_code,patent_count
42f90495-16c8-11ed-9b5f-1234bde3cd05,90539
1d2251c8-16c8-11ed-9b5f-1234bde3cd05,51172
1aeb3c64-16c8-11ed-9b5f-1234bde3cd05,41540
13f05eea-16c8-11ed-9b5f-1234bde3cd05,32602
3b444e27-16c8-11ed-9b5f-1234bde3cd05,31277
4affd925-16c8-11ed-9b5f-1234bde3cd05,27348
b5c9a039-16c7-11ed-9b5f-1234bde3cd05,26478
8d09bc30-16c8-11ed-9b5f-1234bde3cd05,24638
1893009c-16c8-11ed-9b5f-1234bde3cd05,23909
5836da24-16c8-11ed-9b5f-1234bde3cd05,21943
4e49a0a0-16c8-11ed-9b5f-1234bde3cd05,21438
35a7da9f-16c8-11ed-9b5f-1234bde3cd05,21438
92237ca2-16c8-11ed-9b5f-1234bde3cd05,20757
3eea8bf8-16c8-11ed-9b5f-1234bde3cd05,19123
1811f8b9-16c8-11ed-9b5f-1234bde3cd05,18399
