name,total_patents,type,patents_by_type
Shunpei Yamazaki,6761,utility,6709
Shunpei Yamazaki,6761,design,38
Shunpei Yamazaki,6761,reissue,13
Shunpei Yamazaki,6761,statutory invention registration,1
Kia Silverbrook,4778,utility,4770
Kia Silverbrook,4778,design,8
Tao Luo,4336,utility,4330
Tao Luo,4336,design,6
Jonathan P. Ive,2877,design,2612
Jonathan P. Ive,2877,utility,253
Jonathan P. Ive,2877,reissue,12
Kangguo Cheng,2819,utility,2818
Kangguo Cheng,2819,reissue,1
Junyi Li,2789,utility,2787
Junyi Li,2789,design,2
"Frederick E. Shelton, IV",2670,utility,2607
"Frederick E. Shelton, IV",2670,design,63
Peter Gaal,2504,utility,2501
Peter Gaal,2504,design,1
Peter Gaal,2504,reissue,1
