patent_id,title,year,type,inventor_name,company_name
12029253,Method for regulating the vaporisation of a vaporiser in an inhaler,2024,utility,Eiko BÄUMKER,KÖRBER TECHNOLOGIES GMBH
6584128,Thermoelectric cooler driver utilizing unipolar pulse width modulated synchronous rectifiers,2003,utility,Richard Kroeger,"Scientific-Atlanta, Inc."
11161990,Voided latex particles containing functionalized outer shells,2021,utility,Matthew F. Boudreaux,Arkema Inc.
6795487,Receiver,2004,utility,Gerald Whitworth,Ceva Ireland Limited
12324454,Temperature control for a rotary head extruder,2025,utility,Robert Egnatchik,"Frito-Lay North America, Inc."
D474886,Earplug container,2003,design,Thomas W. Fleming,"Bacou-Dalloz USA Safety, Inc."
11885288,Fuel pump module for vehicle,2024,utility,Duck Su Moon,HYUNDAI MOTOR COMPANY
11885288,Fuel pump module for vehicle,2024,utility,Duck Su Moon,KIA CORPORATION
11885288,Fuel pump module for vehicle,2024,utility,Duck Su Moon,"Hyundam Industrial Co., Ltd."
7646155,Generic motor control system,2010,utility,Samuel G. Woods,Balck & Decker Inc.
4339721,Electrostatic voltmeter,1982,utility,Takuya Hosoda,"Ando Electric Co., Ltd."
6610738,N-disubstituted carbamoyloxy flavones,2003,utility,Eva K. Mudráné,"BIOGAL Pharmaceutical Co., Ltd."
6448562,Remote detection of fissile material,2002,utility,Muamer Zukic,Jaycor
4432679,Lock spindle blind fastener for single action application,1984,utility,Donald J. Angelosanto,Huck Manufacturing Co.
11093663,Gearsets,2021,utility,Barry James,ROMAX TECHNOLOGY LIMITED
8977851,Removable security modules and related methods,2015,utility,Lee Allen Neitzel,"FISHER-ROSEMOUNT SYSTEMS, INC."
10761618,Information handling system touch device with automatically orienting visual display,2020,utility,Jace W. Files,Dell Products L.P.
10263820,Channel sounding using multiple sounding configurations,2019,utility,Stefan Parkvall,Telefonaktiebolaget LM Ericsson (Publ)
10082632,Optical fiber cable connector,2018,utility,Christopher Gaal,IPG PHOTONICS CORPORATION
D935390,Mobile battery,2021,design,Mohan Narasaiah,SCHNEIDER ELECTRIC IT CORPORATION
