name,total_patents,rank,dense_rank,quartile
Shunpei Yamazaki,6761,1,1,1
Kia Silverbrook,4778,2,2,1
Tao Luo,4336,3,3,1
Jonathan P. Ive,2877,4,4,1
Kangguo Cheng,2819,5,5,1
Junyi Li,2789,6,6,1
"Frederick E. Shelton, IV",2670,7,7,1
Peter Gaal,2504,8,8,1
Duncan Robert Kerr,2466,9,9,1
Bartley K. Andre,2412,10,10,1
Richard P. Howarth,2332,11,11,1
Wanshi Chen,2308,12,12,1
Eugene Antony Whang,2181,13,13,1
Xiaoxia Zhang,2070,14,14,1
"Lowell L. Wood, JR.",1974,15,15,1
Rico Zörkendörfer,1962,16,16,1
Chen-Hua Yu,1958,17,17,1
Peter Russell-Clarke,1944,18,18,1
Christopher J. Stringer,1899,19,19,1
Roderick A. Hyde,1893,20,20,1
